,From,To,Category,ratio,Ratio
42,at,se,education,0.9513716883759076,0.9513716883759076
43,at,se,food-non-alc,1.006352289121355,1.006352289121355
44,at,se,health,1.056272987947374,1.056272987947374
45,at,se,it-tech,1.0515807924599627,1.0515807924599627
46,at,se,leisure,1.0707140886739732,1.0707140886739732
47,at,se,transport,1.0946561107589319,1.0946561107589319
48,dk,at,alc-tobacco,0.6554648420647106,0.6554648420647106
49,dk,at,clothing,0.7728742660003206,0.7728742660003206
50,dk,at,education,1.103878456123115,1.103878456123115
51,dk,at,food-non-alc,0.8928620705330848,0.8928620705330848
52,dk,at,health,0.9713169201211249,0.9713169201211249
53,dk,at,it-tech,0.9657430396246566,0.9657430396246566
54,dk,at,leisure,0.7823039198383829,0.7823039198383829
55,dk,at,transport,0.8541365928388512,0.8541365928388512
56,dk,fr,alc-tobacco,0.9993968195768343,0.9993968195768343
57,dk,fr,clothing,0.7998330794668174,0.7998330794668174
58,dk,fr,education,0.6234439913235971,0.6234439913235971
59,dk,fr,food-non-alc,0.9172925204332738,0.9172925204332738
60,dk,fr,health,0.6502182128165017,0.6502182128165017
61,dk,fr,it-tech,1.0016236216047156,1.0016236216047156
62,dk,fr,leisure,0.7730015889495057,0.7730015889495057
63,dk,fr,transport,0.8273689801336134,0.8273689801336134
64,dk,de,alc-tobacco,0.720817665575682,0.720817665575682
65,dk,de,clothing,0.7416378575899595,0.7416378575899595
66,dk,de,education,0.7949490392005224,0.7949490392005224
67,dk,de,food-non-alc,0.8710747785231211,0.8710747785231211
68,dk,de,health,0.7356598897246086,0.7356598897246086
69,dk,de,it-tech,1.0364652920958994,1.0364652920958994
70,dk,de,leisure,0.7186841394813634,0.7186841394813634
71,dk,de,transport,0.835503390663225,0.835503390663225
72,dk,hu,alc-tobacco,0.5141145411631154,0.5141145411631154
73,dk,hu,clothing,0.5759149261846174,0.5759149261846174
74,dk,hu,education,0.27839506915460427,0.27839506915460427
75,dk,hu,food-non-alc,0.6196014986640781,0.6196014986640781
76,dk,hu,health,0.27480958880719475,0.27480958880719475
77,dk,hu,it-tech,0.7958066099835239,0.7958066099835239
78,dk,hu,leisure,0.37185966815951993,0.37185966815951993
79,dk,hu,transport,0.529216663466599,0.529216663466599
80,dk,es,alc-tobacco,0.6647913498163219,0.6647913498163219
81,dk,es,clothing,0.6701033428797485,0.6701033428797485
82,dk,es,education,0.5723324266269442,0.5723324266269442
83,dk,es,food-non-alc,0.8141660049194452,0.8141660049194452
84,dk,es,health,0.7539389443052411,0.7539389443052411
85,dk,es,it-tech,1.0214366146537308,1.0214366146537308
86,dk,es,leisure,0.6183842650702281,0.6183842650702281
87,dk,es,transport,0.7242154163078159,0.7242154163078159
88,dk,se,alc-tobacco,0.9313294011768873,0.9313294011768873
89,dk,se,clothing,0.8355639926955092,0.8355639926955092
90,dk,se,education,1.050198061279722,1.050198061279722
91,dk,se,food-non-alc,0.8985332330333171,0.8985332330333171
92,dk,se,health,1.025975191152031,1.025975191152031
93,dk,se,it-tech,1.0155562030545682,1.0155562030545682
94,dk,se,leisure,0.8376233107360448,0.8376233107360448
95,dk,se,transport,0.9349852627201455,0.9349852627201455
96,fr,at,alc-tobacco,0.6558604442450079,0.6558604442450079
97,fr,at,clothing,0.966294450481508,0.966294450481508
98,fr,at,education,1.7706136741803153,1.7706136741803153
99,fr,at,food-non-alc,0.973366783925536,0.973366783925536
100,fr,at,health,1.49383222582115,1.49383222582115
101,fr,at,it-tech,0.9641775800748645,0.9641775800748645
102,fr,at,leisure,1.012034038508923,1.012034038508923
103,fr,at,transport,1.032352690695408,1.032352690695408
104,fr,dk,alc-tobacco,1.0006013652296428,1.0006013652296428
105,fr,dk,clothing,1.2502581447886092,1.2502581447886092
106,fr,dk,education,1.603989830669002,1.603989830669002
107,fr,dk,food-non-alc,1.090162407082971,1.090162407082971
108,fr,dk,health,1.5379418822230884,1.5379418822230884
109,fr,dk,it-tech,0.99837683587437,0.99837683587437
110,fr,dk,leisure,1.2936555841155788,1.2936555841155788
111,fr,dk,transport,1.2086479504141572,1.2086479504141572
112,fr,de,alc-tobacco,0.7212527110911675,0.7212527110911675
113,fr,de,clothing,0.9272407913965601,0.9272407913965601
114,fr,de,education,1.2750929518348761,1.2750929518348761
115,fr,de,food-non-alc,0.9496150454946233,0.9496150454946233
116,fr,de,health,1.1314046195937908,1.1314046195937908
117,fr,de,it-tech,1.0347851925011147,1.0347851925011147
118,fr,de,leisure,0.9297317751416803,0.9297317751416803
119,fr,de,transport,1.0098316600270631,1.0098316600270631
120,fr,hu,alc-tobacco,0.5144237487442596,0.5144237487442596
121,fr,hu,clothing,0.7200423789176543,0.7200423789176543
122,fr,hu,education,0.44654289192576374,0.44654289192576374
123,fr,hu,food-non-alc,0.6754663097621367,0.6754663097621367
124,fr,hu,health,0.42264120663864235,0.42264120663864235
125,fr,hu,it-tech,0.7945149423456663,0.7945149423456663
126,fr,hu,leisure,0.4810583707959683,0.4810583707959683
127,fr,hu,transport,0.6396366815951096,0.6396366815951096
128,fr,es,alc-tobacco,0.6651925809587914,0.6651925809587914
129,fr,es,clothing,0.8378039869599431,0.8378039869599431
130,fr,es,education,0.9180173914449942,0.9180173914449942
131,fr,es,food-non-alc,0.8875751047603464,0.8875751047603464
132,fr,es,health,1.1595168044270248,1.1595168044270248
133,fr,es,it-tech,1.0197808763907468,1.0197808763907468
134,fr,es,leisure,0.7999779999295997,0.7999779999295997
135,fr,es,transport,0.8753233849676852,0.8753233849676852
136,fr,se,alc-tobacco,0.9318920760271345,0.9318920760271345
137,fr,se,clothing,1.04467360844731,1.04467360844731
138,fr,se,education,1.684511720666396,1.684511720666396
139,fr,se,food-non-alc,0.9795498911581546,0.9795498911581546
140,fr,se,health,1.5778946286601825,1.5778946286601825
141,fr,se,it-tech,1.013910623727255,1.013910623727255
